CHILDID,X4PRNCON,X4PRNSOC,X4PRNSAD,X4PRNIMP,X4TCHCON,X4TCHPER,X4TCHEXT,X4TCHINT
10000001,3.4,3.67,1.75,2,3.25,3.4,2.83,2
10000002,3.2,4,1.25,2.5,3.25,3.2,1.33,1.25
10000003,3.2,4,1.5,2,4,4,1.83,1.5
10000004,2.4,2.67,1,3,3,2.6,1.83,1.25
10000005, , , , , , , , 
10000006,3,3,1.25,2,3.25,2.2,1.67,2.25
10000007, , , , ,3.33,3.6,1.33,1.25
10000008,3.2,4,1.25,2,3,3,1.5,1.25
10000009, , , , , , , , 
10000010, , , , ,3.25,2.8,1.67,1.25
10000011,2.8,3,1.75,2.5,4,4,1.33,1.5
10000012,3.6,3.67,1.25,1.5,2.25,3.6,2.17,2.75
10000013, , , , , , , , 
10000014,3.4,3.33,1.25,3,3.25,2.6,1.33,1.25
10000015, , , , ,3.75,3.6,1,1
10000016, , , , ,2.75,2.8,1.5,1.25
10000017,3,4,1.25,1.5, , , , 
10000018, , , , , , , , 
10000019,2.6,4,1.5,2,4,3.8,1.67,1
10000020,3.2,3.33,1.25,1.5,3.5,3.6,1.5,1.5
10000021, , , , ,3.33,3.2,1.5,1
10000022,3.6,4,1.25,1,3.75,3.8,1.5,1.25
10000023,3.2,4,1.5,2,4,4,2,1.5
10000024,2.8,3.33,2,2,3,2.6,2.17,1.5
10000025,3.6,3.33,1,2,4,4,1.5,1
10000026,2,4,1.5,4,2,2.4,2.83,1.75
10000027,3.6,2,1.25,1.5, , , , 
10000028,2.2,4,1, ,2.75,2.75,3.67,3.5
10000029,2.8,3.33,1.25,2.5,4,4,1.5,1.25
10000030,2.8,3,1.25,1,3.25,3,1.33,1.75
10000031,3.4,3.67,1.5,2,2.75,2.8,2,1.5
10000032,3.2,4,1,1.5,3.67,4,1,1
10000033, , , , , , , , 
10000034, , , , ,3,3,1.83,1.25
10000035, , , , , , , , 
10000036,3.6,3.33,1.75,1, , , , 
10000037, , , , , , , , 
10000038, , , , ,3,3.6,1.75,1.25
10000039, , , , , , , , 
10000040,3,3.33,1.5,2.5, , , , 
10000041, , , , , , , , 
10000042, , , , ,2.25,2.2,2.33,1.75
10000043, , , , ,2.5,2.6,2.5,2
10000044,3.6,1.67,1,2, , , , 
10000045, , , , , , , , 
10000046,2.6,3.67,1.25,2.5,2,2,2.33,1
10000047,3.2,3.33,2,2.5,2.25,2,3.17,1.25
10000048,3.6,2,1,1,3.5,3.4,1.5,1.25
10000049,4,4,1.75,1,3,3,1.17,1.25
10000050,3.4,4,1.25,1.5,3,3,1.83,1.25
10000051, , , , ,3,3.2,2,1.25
10000052,3.4,4,1.25,2,3.75,3.2,1.5,1.5
10000053,3,4,1,2,2.75,2.6,1.5,1
10000054,2.8,3.67,1.25,1.5,3.5,3,1.17,2
10000055,2.6,2.67,1.25,2.5,3.75,4,1,1.25
10000056,4,3.67,1,1,4,3.4,1,1
10000057,2.8,4,1.75,2,3,2.8,2.33,1
10000058,2.8,3.33,1,1,3,3.2,1.83,1.33
10000059, , , , , , , , 
10000060,3.4,3.67,1.75,1,4,4,1,1.25
10000061, , , , , , , , 
10000062,3.2,4,1,1,3.5,3,2.33,2
10000063, , , , ,4,4,1,1
10000064,2.8,4,1.5,3, , , , 
10000065,1.2,2.33,2.25,3.5,3.25,3,2,2.5
10000066,3.2,4,1.75,2.5,3.25,3.2,2.5,1.5
10000067,3.6,4,1.5,2,3,3.4,2.33,1.5
10000068,3,3,1.25,1,3.5,3.4,2,2.5
10000069,3,4,1.25,1,2.5,1.8,2,2.75
10000070,2.6,2.67,1.5,2,2.25,2.2,3,1
10000071,3.4,4,1.25,2,3.5,3,2.17,1.25
10000072,3.4,3.67,1.25,1.5,3.75,3.4,1,1
10000073,2,3.67,2.75,2.5,2,2,2.83,2
10000074, , , , , , , , 
10000075,3.6,3,1.25,1.5,4,4,1,1.25
10000076,2,4,1.25,2.5, , , , 
10000077,3,3.67,1.25,2,3.75,3,1.17,1
10000078, , , , ,4,3.2,1.83,2.5
10000079,3.2,3,1.25,2,3,2.6,1.83,1.5
10000080, , , , , , , , 
10000081, , , , ,3.75,4,1.17,1.25
10000082,2.6,2.67,1.75,1.5,3.5,2.6,1.17,1.75
10000083,3.6,2.67,1,1,3.33,2.6,2,1
10000084,3.2,3.67,1.25,1.5, ,2.25,1,2
10000085, , , , , , , , 
10000086,3.4,3,1,3,4,4,4,4
10000087,2.8,2.67,1,1.5,3.5,3.4,1.8,2
10000088,3.4,4,1.25,2,4,3.8,1.33,1.5
10000089,3.8,4,1,2,4,4,1.17,1.25
10000090, , , , , , , , 
10000091, , , , ,1.75,2,3.83,1.75
10000092,3.2,4,1.5,1,4,3.6,1.5,1
10000093, , , , ,4,4,1.17,1
10000094,3,3,1,2,3.25,3.8,1.17,1
10000095,3.2,4,1.5,2,3.5,3.6,1.17,1.75
10000096,3.4,3.33,1,1.5,4,3.4,1.67,1.25
10000097, , , , ,3.5,3.2,1.17,1.25
10000098,1.4,3.67,1,3.5,3.5, ,1.67,1
10000099,2,3.33,1.25, ,1.75,1.4,2.83,2.75
10000100,3.2,4,1.25,1,3.25,3.4,1.33,1.25
10000101, , , , , , , , 
10000102,3.4,3.67,1.25,2, , , , 
10000103, , , , ,3.67,3,1.67,1.5
10000104, , , , , , , , 
10000105, , , , ,3.25,3.2,2,1.5
10000106,3,3,1.75,1,4,3.8,1.5,1
10000107,4,4,1,2.5,4,4,1.33,1.5
10000108, , , , , , , , 
10000109,3.4,4,1.25,1,3.5,4,1.67,1
10000110,3,3,2,2,3.5,3.4,1.17,1.5
10000111,2.4,3.67,1.5,1.5,3.5,3.25,1.17,1.5
10000112,2.6,3,2,3.5,2.25,2.4,3.67,2.75
10000113,3.8,3.67,1.25,1,3,3.2,2,2
10000114, , , , ,3.25,3.4,2.17,1.75
10000115,2.6,3.67,1.25,2.5,2.75,3.4,1.33,1.25
10000116,2.8,3.67,1.25,2,3.25,2.6,1.33,2.25
10000117,3.4,3,1.75,1.5,3.25,3.4,1.67,2.25
10000118,3.2,3,2,2.5,3.5,3,2.17,1
10000119,2.6,2.33,2,2.5, , , , 
10000120,2.6,3.33,1.25,1.5,2.33,2.6,2.33,1.5
10000121,2.6,3,1.5,2.5, ,3.5,1.33,1
10000122,2.6,3,1.25,2,2,1.8,3.17,2
10000123,3.2,3.33,1.5,1.5,2.75,2.8,2.17,1.5
10000124,2.8,4,1.75,2, , , , 
10000125,3,4,1.25,1.5, , , , 
10000126,3,4,1.5,2,3,3.4,1.33,1
10000127,2.6,4,2.75,2,3.33,2.8,1.83,1.5
10000128,3.4,3.67,1.25,1.5,2.75,2.8,1.83,1.25
10000129,2.4,2.67,2,2,4,3.6,1,1
10000130, , , , , , , , 
10000131,2.6,4,1.5,1.5,2,2,3,3
10000132,2.8,4,1.5,1,4,4,1,1
10000133,2.4,3.33,2,2,2.5,2.25,2.67,1.75
10000134,2.8,2.67,1.5,2,3.5,3,1.67,2
10000135,3.2,4,1,3, , , , 
10000136,3,3.33,1.25,2,3.75,3.4,1.83,2
10000137, , , , ,2.5,3.2,1.5,1.75
10000138, , , , , , , , 
10000139, , , , , , , , 
10000140, , , , , , , , 
10000141,2,3.67,1.5,2.5,3.75,3.8,1.83,1
10000142,2.2,2.67,2,1,3.75,3.6,2,2
10000143,1.8,3.33,1.5,2,2,2,3.83,2.25
10000144, , , , , , , , 
10000145,2.2,3,1.5,2, , , , 
10000146,4,2.67,1.5,2,3.5,3.2,1.33,1
10000147, , , , , , , , 
10000148,3.2,3.67,1.5,2,4,3.4,1.17,1
10000149,4,3,1,1,4,3.8,1.17,1.25
10000150, , , , ,3.33,3.2,1.83,2.25
10000151,3.2,4,1.25,1.5, , , , 
10000152,3.2,2.33,1.25,1,3,3.2,1.67,3
10000153, , , , ,3.25,3.2,1.17,1.25
10000154,3,4,1.75,1, , , , 
10000155, , , , , , , , 
10000156, , , , , ,3,1.5,1.25
10000157,3,4,1.5,3,2.75,3,2.5,2.5
10000158,2.8,4,1.5,1,4,4,1.17,1
10000159,3.2,3.67,1.75,2,3.75,3.4,1.33,2.25
10000160,3.2,3.33,2,2.5,3,2.6,2.17,1
10000161, , , , , , , , 
10000162,3.6,4,1.25,2, , , , 
10000163,3.2,2.33,2.25,1,2.5,2.8,1.83,3
10000164,2.8,3,2,2.5,2,2,2.83,1.5
10000165,3,4,1.25,3.5,3.25,2.4,1.67,1
10000166,3,4,1.25,3,2.25,2.2,2.67,1
10000167,3,3.33,1.75,2,2.25,2.25,2.25,2
10000168,2.4,3.33,1.25,2,3.67,3.75, ,1
10000169, , , , ,2.25,2.2,2,1.25
10000170,3.6,3,1.25,1.5,3.75,3.8,1.17,1
10000171, , , , , , , , 
10000172,3.2,3.67,1.5,2,3,3.4,2,1.75
10000173,3.6,3.33,1,1,3,3.6,1.5,1.5
10000174,2.6,4,1.5,2,3.25,2.8,3.33,3
10000175,3.6,4,1,3.5,4,4,1.17,1.25
10000176,3.6,2.67,1.5,2.5,4,4,1.5,2
10000177,3.6,3,1.75,1.5,3.75,3.2,1.17,1.75
10000178,2.6,4,2.25,1.5, , , , 
10000179,3.4,4,1.25,2,3,2.6,2,1
10000180,2.8,4,1.75,3.5,2.75,2.6,1.67,2
10000181,3.6,3.33,1.25,1.5,3.25,2.6,1,1.75
10000182,2.2,3,2,2,3,3,1.5,1.25
10000183,3.2,3.33,1.25,1, , , , 
10000184,3,4,1.75,2, , ,2,1.75
10000185,3.2,3.67,1.5,2,2,2.2,2.17,1.5
10000186, , , , ,2.25,2,2,2.25
10000187, , , , ,3.25,3.6,2,2
10000188,3.2,3.33,1,1.5,3.75,3.6,1.17,1.25
10000189,2.8,3.67,1.75,1.5,3.33,3.2,1.5,1.75
10000190,3.6,3.67,1,1,2.5,3,2.67,1.5
10000191,3,4,1.5,3,2.25,2.6,2.5,2
10000192,3,3.33,2,2,3.67,3.6, ,1.25
10000193, , , , , , , , 
10000194,3,3.67,1.5,2,4,4,1.17,1.25
10000195,3,3.67,2,2, , , , 
10000196, , , , ,1.5,2,3,2
10000197,3.6,3.67,1.5,1.5,4,3.2,1,2
10000198,3,4,1.5,2, , , , 
10000199, , , , , , , , 
10000200, , , , , , , , 
10000201,3.6,4,1.5,2,4,3.8,1.67,1.25
10000202,2.8,3,1.25,2, , , , 
10000203, , , , , , , , 
10000204,2.2,3,2,2, , , , 
10000205,3.4,3.33,1.5,1.5,3,3,1.83,1.25
10000206, , , , , , , , 
10000207, , , , ,3,3.2,2.33,1
10000208,3.4,4,1.25,1.5, , , , 
10000209, , , , ,4,4,1,1
10000210,3.2,3.67,1.25,1.5,2.67,2, ,2
10000211, , , , ,2.75,2.8,1.67,1.75
10000212,3.2,3,2,2,3.5,3.4,1.17,1.75
10000213,3.2,4,1.75,1,2.75,2.5,1.67,2
